Wichita,KS,449 Northfield Hill,67260,jquant0@liveinternet.ru,1001,Jordana Quant,316-844-1784
Fairbanks,AK,14 Magdeline Point,99790,gharwick1@reverbnation.com,1002,Gallagher Harwick,907-438-0824
Augusta,GA,219 Stone Corner Parkway,30919,lbunt2@unicef.org,1003,Loralyn Bunt,706-275-9846
Spokane,WA,18064 Express Way,99220,bspringtorp3@canalblog.com,1004,Berkeley Springtorp,509-827-2620
Odessa,TX,82 Sloan Circle,79764,rpues4@ox.ac.uk,1005,Rois Pues,432-689-6552
Greensboro,NC,269 Schlimgen Court,27499,nvonoertzen5@kickstarter.com,1006,Neile Von Oertzen,336-702-7619
Little Rock,AR,6647 Stephen Park,72222,scockshut6@acquirethisname.com,1007,Sabrina Tutshut,501-526-6553
Bronx,NY,9802 School Park,10459,haddams7@timesonline.co.uk,1008,Heidi Addams,718-417-9473
Charlotte,NC,33854 Cascade Pass,28284,epoles8@cargocollective.com,1009,Enoch Poles,704-653-4943
Roanoke,VA,93853 Warrior Hill,24020,bpadbury9@typepad.com,1010,Brigham Padbury,540-929-6954
